	#Rank	City	Population (2000)	Latitude (DD)	Longitude (DD)
0	1	Dublin	1.0279	53.33	-6.25
1	2	Cork	0.1954	51.9	-8.47
2	3	Limerick	0.0857	52.67	-8.63
3	4	Galway	0.0686	53.28	-9.06
4	5	Waterford	0.0483	52.26	-7.13
5	6	Dundalk	0.0344	54.02	-6.42
6	7	Bray	0.0323	53.21	-6.11
7	8	Drogheda	0.0288	53.72	-6.36
8	9	Swords	0.0241	53.45	-6.22
9	10	Tralee	0.0212	52.28	-9.72
10	11	Kilkenny	0.0203	52.66	-7.26
11	12	Ennis	0.0201	52.86	-8.99
12	13	Sligo	0.0195	54.28	-8.48
13	14	Athlone	0.0184	53.42	-7.95
14	15	Wexford	0.0183	52.34	-6.48
15	16	Naas	0.0181	53.22	-6.68
16	17	Clonmel	0.0172	52.36	-7.71
17	18	Newbridge	0.0172	53.18	-6.8
18	19	Carlow	0.017	52.84	-6.92
19	20	Navan	0.0166	53.66	-6.69
20	21	Celbridge	0.0158	53.33	-6.55
21	22	Mullingar	0.0148	53.53	-7.34
22	23	Malahide	0.0146	53.45	-6.16
23	24	Leixlip	0.0145	53.37	-6.49
24	25	Greystones	0.0131	53.14	-6.07
25	26	Letterkenny	0.0129	54.94	-7.74
26	27	Killarney	0.0128	53.06	-9.52
27	28	Tullamore	0.0111	53.28	-7.49
28	29	Maynooth	0.011	53.38	-6.6
29	30	Port laoise	0.0108	53.04	-7.3
30	31	Arklow	0.0099	52.8	-6.15
31	32	Ballina	0.0094	54.12	-9.16
32	33	Cobh	0.0092	51.86	-8.3
33	34	Balbriggan	0.0091	53.61	-6.19
34	35	Castlebar	0.0091	53.86	-9.3
35	36	Shannon	0.009	52.7	-8.92
36	37	Enniscorthy	0.0088	52.5	-6.57
37	38	Carrigaline	0.0085	51.81	-8.39
38	39	Mallow	0.0084	52.14	-8.66
39	40	Wicklow	0.0084	52.99	-6.05
40	41	Dungarvan	0.0079	52.09	-7.63
41	42	Skerries	0.0079	53.58	-6.11
42	43	Laytown	0.0077	53.67	-6.24
43	44	Thurles	0.0074	52.69	-7.83
44	45	Longford	0.0073	53.73	-7.81
45	46	Tramore	0.0072	52.16	-7.16
46	47	New ross	0.0071	52.4	-6.95
47	48	Athy	0.0068	52.99	-6.99
48	49	Midleton	0.0067	51.92	-8.17
